index,message,reply
658,"Yes it uses computer animation and it has love songs. It was super popular. There's a song that all the little kids were saying called""Let It Go and I guess it's based on the Hans Christian Andersen fairy tale called the snow queen",HC wrote so many great stories. I read the Snow Queen a long time ago. I don't remember it.Has the movie won any awards?
659,HC wrote so many great stories. I read the Snow Queen a long time ago. I don't remember it.Has the movie won any awards?,"I'm pretty sure that it has, I know that it made a ton of money. Apparently the villain used to sing that song I mentioned, Let It Go, but the song was so happy that they changed the character"
660,"I'm pretty sure that it has, I know that it made a ton of money. Apparently the villain used to sing that song I mentioned, Let It Go, but the song was so happy that they changed the character",that's good thinkg. I bet the song is up for an award somewhere. Who were the people involved in the film?
661,that's good thinkg. I bet the song is up for an award somewhere. Who were the people involved in the film?,"There's like a princess, a reindeer and a snowman, they're like them three most important characters. Also this is the first movie that was produced by Walt Disney and directed by a woman."
662,"There's like a princess, a reindeer and a snowman, they're like them three most important characters. Also this is the first movie that was produced by Walt Disney and directed by a woman.",Not many films get directed by woman. That's good that she got the job. Good for Disney! They know how to spot talent.
663,Not many films get directed by woman. That's good that she got the job. Good for Disney! They know how to spot talent.,I think so. Apparently she was the first female director of a film that earned over 1 billion dollars too. So that is another record that she set
664,I think so. Apparently she was the first female director of a film that earned over 1 billion dollars too. So that is another record that she set,"Disney has won a ton of awards, and I'm sure she'll win awards as well."
665,"Disney has won a ton of awards, and I'm sure she'll win awards as well.",Oh I'm Sure. Do you like dogs by the way? We used to have a husky ourselves
666,Oh I'm Sure. Do you like dogs by the way? We used to have a husky ourselves,"A dog is a great friend, but no, I have never had a dog. I enjoy playing with them though."
667,"A dog is a great friend, but no, I have never had a dog. I enjoy playing with them though.","Dogs are awesome, I think anyway, they have like 12 different blood types and apparently there are dog blood drives that exist"
668,"Dogs are awesome, I think anyway, they have like 12 different blood types and apparently there are dog blood drives that exist",I wonder how the dogs are rewarded at the drive. People get cookies and orange juice.
669,I wonder how the dogs are rewarded at the drive. People get cookies and orange juice.,I know right? I hope that the dogs get a treat at least haha. Did you know that Istanbul has vending machines that reward stray dogs for bringing back trash?
670,I know right? I hope that the dogs get a treat at least haha. Did you know that Istanbul has vending machines that reward stray dogs for bringing back trash?,The Turks know the value of recycling and that dogs are keen to help for reward.
671,The Turks know the value of recycling and that dogs are keen to help for reward.,Oh for sure! One other thing I didn't know is that dogs and elephants are the only animals that respond to pointing. I want a pet elephant haha!
672,Oh for sure! One other thing I didn't know is that dogs and elephants are the only animals that respond to pointing. I want a pet elephant haha!,Good luck with that elephant! Anyway I enjoyed chatting with you!
673,Good luck with that elephant! Anyway I enjoyed chatting with you!,I enjoyed chatting with you as well! And yes I'll go to local pet store and see if they have elephants in stock haha
674,I enjoyed chatting with you as well! And yes I'll go to local pet store and see if they have elephants in stock haha,Have a good night
675,Have a good night,"Thanks you too! And watch out for dogs, they're not actually colorblind but they just don't see as many colors as a normal human can"
676,"Thanks you too! And watch out for dogs, they're not actually colorblind but they just don't see as many colors as a normal human can","Ana Gloria Henrequez was from Salvador, trying to get to USA, trying to escape from misery and gangs in El Salvador. She was caught."
677,"Ana Gloria Henrequez was from Salvador, trying to get to USA, trying to escape from misery and gangs in El Salvador. She was caught.","Yeah, I heard about that. I feel horrible for her young daughter"
